Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Marco Belinelli\belinma01,0.423,3.7,0.374,0.471,0.848,0.4,2.5,1.5,0.5,0,9.2
Marcus Thornton\thornma01,0.406,3,0.378,0.426,0.821,0.5,1.8,0.8,0.6,0.1,7.9
Markel Brown\brownma02,0.362,1.4,0.266,0.404,0.825,0.3,2.3,0.8,0.7,0.3,4.6
Matthew Dellavedova\dellama01,0.362,2.5,0.407,0.307,0.763,0.6,1.9,3,0.4,0,4.8
Monta Ellis\ellismo01,0.445,3.6,0.285,0.487,0.752,0.4,2.4,4.1,1.9,0.3,18.9
Nick Calathes\calatni01,0.421,0.7,0.256,0.456,0.533,0.3,1.8,2.5,1.1,0.1,4.2
Nick Young\youngni01,0.366,5.4,0.369,0.363,0.892,0.4,2.3,1,0.5,0.3,13.4
Nik Stauskas\stausni01,0.365,2,0.322,0.408,0.859,0.2,1.2,0.9,0.3,0.2,4.4
O.J. Mayo\mayooj01,0.422,3.9,0.357,0.465,0.827,0.4,2.6,2.8,0.8,0.3,11.4
P.J. Hairston\hairspj02,0.323,3.6,0.301,0.358,0.861,0.5,2,0.5,0.5,0.3,5.6
Randy Foye\foyera01,0.368,5.3,0.357,0.388,0.818,0.2,1.7,2.4,0.7,0.2,8.7
Rodney Hood\hoodro01,0.414,3.4,0.365,0.456,0.763,0.2,2.3,1.7,0.6,0.2,8.7
Sergey Karasev\karasse01,0.403,1.6,0.296,0.475,0.763,0.7,2,1.4,0.7,0,4.6
Shabazz Muhammad\muhamsh01,0.489,1.3,0.392,0.503,0.717,1.7,4.1,1.2,0.5,0.2,13.5
Tim Hardaway\hardati02,0.389,5.1,0.342,0.435,0.801,0.2,2.2,1.8,0.3,0.2,11.5
Tony Allen\allento01,0.495,0.5,0.345,0.505,0.627,1.6,4.4,1.4,2,0.5,8.6
Tyler Johnson\johnsty01,0.419,1.5,0.375,0.437,0.681,0.4,2.5,1.3,1,0.3,5.9
Tyreke Evans\evansty01,0.447,2.9,0.304,0.482,0.694,1,5.3,6.6,1.3,0.5,16.6
Victor Oladipo\oladivi01,0.436,3.4,0.339,0.464,0.819,0.7,4.2,4.1,1.7,0.3,17.9
