Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Bogdan Bogdanovic\bogdabo01,0.446,4.2,0.392,0.485,0.84,0.4,2.9,3.3,0.9,0.2,11.8
Bradley Beal\bealbr01,0.46,6.5,0.375,0.507,0.791,0.7,4.4,4.5,1.2,0.4,22.6
Bryn Forbes\forbebr01,0.421,2.9,0.39,0.446,0.667,0.2,1.4,1,0.4,0,6.9
Buddy Hield\hieldbu01,0.446,5.1,0.431,0.457,0.877,0.7,3.8,1.9,1.1,0.3,13.5
C.J. Williams\willicj01,0.442,2.1,0.282,0.546,0.813,0.3,1.5,1.1,0.8,0.3,5.5
CJ McCollum\mccolcj01,0.443,5.9,0.397,0.465,0.836,0.7,4,3.4,1,0.4,21.4
Courtney Lee\leeco01,0.454,3.7,0.406,0.482,0.919,0.4,2.9,2.4,1.1,0.2,12
Damyean Dotson\dotsoda01,0.447,1.5,0.324,0.538,0.696,0.2,1.9,0.7,0.3,0,4.1
Danny Green\greenda02,0.387,4.6,0.363,0.419,0.769,0.6,3.6,1.6,0.9,1.1,8.6
David Nwaba\nwabada01,0.478,0.7,0.346,0.496,0.655,1.3,4.7,1.5,0.8,0.4,7.9
DeAndre Liggins\liggide01,0.377,0.9,0.358,0.396,0.4,0.1,1.3,0.8,0.6,0.2,1.7
DeMar DeRozan\derozde01,0.456,3.6,0.31,0.494,0.825,0.7,3.9,5.2,1.1,0.3,23
Denzel Valentine\valende01,0.417,4.8,0.386,0.45,0.745,0.6,5.1,3.2,0.8,0.1,10.2
Devin Booker\bookede01,0.432,7.1,0.383,0.46,0.878,0.5,4.5,4.7,0.9,0.3,24.9
Dion Waiters\waitedi01,0.398,5.7,0.306,0.463,0.739,0.3,2.6,3.8,0.8,0.3,14.3
Donovan Mitchell\mitchdo01,0.437,7,0.34,0.502,0.805,0.7,3.7,3.7,1.5,0.3,20.5
Dwayne Bacon\bacondw01,0.375,0.8,0.256,0.409,0.8,0.1,2.3,0.7,0.3,0,3.3
Dwyane Wade\wadedw01,0.438,1.7,0.288,0.468,0.714,0.7,3.8,3.4,0.9,0.7,11.4
E'Twaun Moore\mooreet01,0.508,3.7,0.425,0.556,0.706,0.7,2.9,2.3,1,0.1,12.5
Eric Gordon\gordoer01,0.428,8.8,0.359,0.544,0.809,0.4,2.5,2.2,0.6,0.4,18
Garrett Temple\templga01,0.418,3.5,0.392,0.442,0.769,0.3,2.3,1.9,0.9,0.4,8.4
Gary Harris\harriga01,0.485,5.9,0.396,0.553,0.827,0.6,2.6,2.9,1.8,0.2,17.5
Gerald Green\greenge01,0.407,7.3,0.369,0.504,0.85,0.4,3.2,0.6,0.6,0.4,12.1
Ian Clark\clarkia01,0.448,2.6,0.318,0.533,0.763,0.1,1.7,1.5,0.4,0.1,7.4
J.J. Redick\redicjj01,0.46,6.6,0.42,0.504,0.904,0.1,2.5,3,0.5,0.1,17.1
J.R. Smith\smithjr01,0.403,4.8,0.375,0.453,0.696,0.4,2.9,1.8,0.9,0.1,8.3
Jamal Crawford\crawfja01,0.415,3.9,0.331,0.477,0.903,0.3,1.2,2.3,0.5,0.1,10.3
James Harden\hardeja01,0.449,10,0.367,0.531,0.858,0.6,5.4,8.8,1.8,0.7,30.4
Jason Terry\terryja01,0.383,2.3,0.348,0.487,0.889,0.1,0.9,1.2,0.8,0.3,3.3
Jaylen Brown\brownja02,0.465,4.4,0.395,0.507,0.644,0.9,4.9,1.6,1,0.4,14.5
Jeremy Lamb\lambje01,0.457,3.2,0.37,0.495,0.861,0.6,4.1,2.3,0.8,0.4,12.9
Jerryd Bayless\bayleje01,0.416,3.7,0.37,0.474,0.795,0.4,2.1,1.4,0.6,0.2,7.9
Jimmy Butler\butleji01,0.474,3.4,0.35,0.509,0.854,1.3,5.3,4.9,2,0.4,22.2
Jodie Meeks\meeksjo01,0.399,2.7,0.343,0.464,0.863,0.2,1.6,0.9,0.4,0.1,6.3
Joe Harris\harrijo01,0.491,4.6,0.419,0.589,0.827,0.7,3.3,1.6,0.4,0.3,10.8
Jonathon Simmons\simmojo02,0.465,3,0.338,0.512,0.768,0.9,3.5,2.5,0.8,0.2,13.9
Jordan Clarkson\clarkjo01,0.451,3.9,0.352,0.5,0.8,0.7,2.7,2.7,0.7,0.1,13.9
Josh Hart\hartjo01,0.469,3.1,0.396,0.551,0.702,0.7,4.2,1.3,0.7,0.3,7.9
Jrue Holiday\holidjr01,0.494,4.4,0.337,0.557,0.786,0.8,4.5,6,1.5,0.8,19
Justin Holiday\holidju01,0.371,6.2,0.359,0.387,0.823,0.4,4,2.1,1.1,0.4,12.2
Kent Bazemore\bazemke01,0.42,4.2,0.394,0.438,0.796,0.4,3.8,3.5,1.5,0.7,12.9
Kentavious Caldwell-Pope\caldwke01,0.426,5.6,0.383,0.473,0.789,0.8,5.2,2.2,1.4,0.2,13.4
Klay Thompson\thompkl01,0.488,7.1,0.44,0.526,0.837,0.4,3.8,2.5,0.8,0.5,20
Kyle Korver\korveky01,0.459,5.2,0.436,0.537,0.889,0.1,2.3,1.2,0.4,0.4,9.2
Lance Stephenson\stephla01,0.427,2.8,0.289,0.495,0.661,0.8,5.2,2.9,0.6,0.2,9.2
Langston Galloway\gallola01,0.371,3.8,0.344,0.418,0.805,0.2,1.6,1,0.6,0.1,6.2
Lou Williams\willilo02,0.435,6.6,0.359,0.484,0.88,0.5,2.5,5.3,1.1,0.2,22.6
Luke Kennard\kennalu01,0.443,2.7,0.415,0.463,0.855,0.3,2.4,1.7,0.6,0.2,7.6
Malik Monk\monkma01,0.36,3.9,0.342,0.385,0.842,0.1,1,1.4,0.3,0.1,6.7
Manu Ginobili\ginobma01,0.434,3,0.333,0.506,0.84,0.3,2.2,2.5,0.7,0.2,8.9
Marco Belinelli\belinma01,0.441,4.9,0.377,0.509,0.908,0.3,1.9,1.9,0.8,0.2,12.1
Marcus Smart\smartma01,0.367,4.6,0.301,0.429,0.729,0.8,3.5,4.8,1.3,0.4,10.2
Nick Young\youngni01,0.412,4.1,0.377,0.481,0.862,0.3,1.6,0.5,0.5,0.1,7.3
Nicolas Batum\batumni01,0.415,4.3,0.336,0.473,0.831,0.9,4.8,5.5,1,0.4,11.6
Nik Stauskas\stausni01,0.39,2.4,0.4,0.37,0.724,0.1,1.6,1,0.2,0.1,4.4
Norman Powell\powelno01,0.401,2.7,0.285,0.516,0.821,0.2,1.7,1.3,0.5,0.2,5.5
Pat Connaughton\connapa01,0.423,2.6,0.352,0.506,0.841,0.4,2,1.1,0.3,0.3,5.4
Patrick McCaw\mccawpa01,0.409,1.4,0.238,0.503,0.765,0.3,1.4,1.4,0.8,0.2,4
Rodney Hood\hoodro01,0.429,5.6,0.381,0.467,0.86,0.4,2.8,1.6,0.8,0.2,14.7
Sean Kilpatrick\kilpase01,0.374,2.8,0.319,0.427,0.889,0.1,1.7,0.9,0.3,0.1,6.3
Sindarius Thornwell\thornsi01,0.429,0.8,0.377,0.448,0.67,0.5,1.9,0.9,0.7,0.3,3.9
Sterling Brown\brownst02,0.4,1.7,0.352,0.439,0.875,0.5,2.6,0.5,0.6,0.2,4
Terrance Ferguson\fergute01,0.414,2,0.333,0.612,0.9,0.3,0.8,0.3,0.4,0.2,3.1
Tim Hardaway\hardati02,0.421,7.2,0.317,0.516,0.816,0.6,3.9,2.7,1.1,0.2,17.5
Tomas Satoransky\satorto01,0.523,1.4,0.465,0.544,0.781,1,3.2,3.9,0.7,0.2,7.2
Tony Snell\snellto01,0.435,3.6,0.403,0.49,0.792,0.1,1.9,1.3,0.6,0.4,6.9
Treveon Graham\grahatr01,0.434,1.5,0.412,0.452,0.695,0.7,1.9,0.9,0.5,0,4.3
Troy Daniels\danietr01,0.403,5.8,0.4,0.419,0.875,0.2,1.6,0.6,0.3,0.1,8.9
Tyler Dorsey\dorsety01,0.377,3.6,0.362,0.393,0.714,0.3,2.3,1.4,0.3,0.1,7.2
Victor Oladipo\oladivi01,0.477,5.8,0.371,0.528,0.799,0.6,5.2,4.3,2.4,0.8,23.1
Wayne Ellington\ellinwa01,0.407,7.5,0.392,0.479,0.859,0.3,2.8,1,0.7,0.1,11.2
Wayne Selden\seldewa01,0.431,3.5,0.402,0.456,0.746,0.5,1.6,1.9,0.5,0.1,9.3
Will Barton\bartowi01,0.452,5.2,0.37,0.51,0.805,0.9,5,4.1,1,0.6,15.7
Yogi Ferrell\ferreyo01,0.426,4.4,0.373,0.477,0.796,0.3,3,2.5,0.8,0.1,10.2
,,,,,,,,,,,
,,3.663694268,,,,0.4875796178,,,,,
,,1.805959353,,,,0.319152034,,,,,
,,3.261489184,,,,0.1018580208,,,,,
