,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
48,Quincy Pondexter\pondequ01,0.42100000000000004,3.3,0.373,0.478,0.74,0.7,2.6,1.3,0.3,0.3,7.2,79
49,Rasual Butler\butlera01,0.42200000000000004,3.1,0.387,0.45,0.7909999999999999,0.4,2.6,0.8,0.4,0.3,7.7,79
50,Richard Jefferson\jefferi01,0.444,2.1,0.426,0.462,0.684,0.3,2.5,0.8,0.4,0.1,5.8,79
51,Robbie Hummel\hummero01,0.45899999999999996,1.1,0.314,0.521,0.828,0.7,3.0,0.6,0.4,0.2,4.4,80
52,Robert Covington\covinro01,0.396,6.4,0.374,0.426,0.82,0.9,4.5,1.5,1.4,0.4,13.5,81
53,Rudy Gay\gayru01,0.455,3.2,0.359,0.479,0.858,1.4,5.9,3.7,1.0,0.6,21.1,80
54,Shawn Marion\mariosh01,0.446,0.8,0.261,0.484,0.765,1.1,3.5,0.9,0.5,0.5,4.8,79
55,Shawne Williams\willish03,0.40299999999999997,2.8,0.36,0.467,0.875,0.6,2.6,0.7,0.4,0.3,5.4,81
56,Solomon Hill\hillso01,0.396,2.5,0.327,0.43,0.8240000000000001,0.9,3.8,2.2,0.8,0.2,8.9,79
57,T.J. Warren\warretj01,0.528,0.5,0.23800000000000002,0.56,0.737,1.0,2.1,0.6,0.5,0.2,6.1,80
58,Tayshaun Prince\princta01,0.44,1.2,0.46299999999999997,0.436,0.754,0.9,3.6,1.6,0.5,0.3,7.5,81
59,Terrence Ross\rosste01,0.41,4.8,0.37200000000000005,0.452,0.7859999999999999,0.4,2.8,1.0,0.6,0.3,9.8,79
60,Thabo Sefolosha\sefolth01,0.418,1.5,0.321,0.462,0.7759999999999999,1.0,4.3,1.4,1.0,0.4,5.3,79
61,Tobias Harris\harrito02,0.466,3.5,0.364,0.5,0.7879999999999999,1.1,6.3,1.8,1.0,0.5,17.1,81
62,Tony Snell\snellto01,0.429,2.7,0.371,0.494,0.8,0.4,2.4,0.9,0.4,0.2,6.0,79
63,Travis Wear\weartr01,0.402,0.6,0.36700000000000005,0.408,0.769,0.6,2.1,0.8,0.3,0.2,3.9,82
64,Trevor Ariza\arizatr01,0.402,6.8,0.35,0.485,0.853,0.9,5.6,2.5,1.9,0.2,12.8,80
65,Wesley Johnson\johnswe01,0.414,3.4,0.35100000000000003,0.451,0.804,0.9,4.2,1.6,0.8,0.6,9.9,79
66,Wilson Chandler\chandwi01,0.429,5.2,0.342,0.49,0.775,1.2,6.1,1.7,0.7,0.4,13.9,81
67,Al-Farouq Aminu\aminual01,0.41600000000000004,4.3,0.361,0.46799999999999997,0.737,1.2,6.1,1.7,0.9,0.6,10.2,81
68,Alonzo Gee\geeal01,0.518,0.8,0.28300000000000003,0.59,0.667,0.8,3.4,1.0,0.9,0.2,4.5,78
69,Andre Iguodala\iguodan01,0.478,2.4,0.35100000000000003,0.57,0.614,0.8,4.0,3.4,1.1,0.3,7.0,78
70,Andrew Wiggins\wiggian01,0.45899999999999996,2.3,0.3,0.486,0.7609999999999999,1.3,3.6,2.0,1.0,0.6,20.7,80
71,Bojan Bogdanovic\bogdabo02,0.433,4.3,0.382,0.474,0.833,0.5,3.2,1.3,0.4,0.1,11.2,80
72,C.J. Miles\milescj01,0.409,6.0,0.36700000000000005,0.474,0.75,0.4,2.7,1.0,0.8,0.5,11.8,78
73,Carmelo Anthony\anthoca01,0.434,4.3,0.33899999999999997,0.46299999999999997,0.8290000000000001,1.4,7.7,4.2,0.9,0.5,21.8,80
74,Chandler Parsons\parsoch01,0.49200000000000005,4.1,0.414,0.54,0.684,0.5,4.7,2.8,0.8,0.3,13.7,82
75,Chase Budinger\budinch01,0.435,1.3,0.27899999999999997,0.523,0.696,0.7,2.3,1.0,0.5,0.2,4.1,79
76,Chris Johnson\johnsch04,0.371,1.4,0.273,0.474,0.81,0.4,1.9,0.6,0.5,0.3,2.9,78
77,Corey Brewer\breweco01,0.384,2.7,0.272,0.46,0.75,0.5,2.4,1.3,1.0,0.2,7.2,81
78,Danilo Gallinari\gallida01,0.41,4.5,0.364,0.434,0.868,1.0,5.3,2.5,0.8,0.4,19.5,82
79,Dante Cunningham\cunnida01,0.451,2.2,0.316,0.55,0.695,0.7,3.0,1.0,0.5,0.4,6.1,80
80,Derrick Williams\willide02,0.45,1.9,0.293,0.506,0.758,0.6,3.7,0.9,0.4,0.1,9.3,80
81,Doug McDermott\mcderdo01,0.452,3.2,0.425,0.47,0.857,0.5,2.4,0.7,0.2,0.1,9.4,80
82,Evan Fournier\fournev01,0.462,4.9,0.4,0.506,0.836,0.4,2.8,2.7,1.2,0.0,15.4,79
83,Garrett Temple\templga01,0.39799999999999996,3.2,0.345,0.45299999999999996,0.728,0.5,2.7,1.8,0.9,0.2,7.3,78
84,Glenn Robinson\robingl02,0.43,0.8,0.37799999999999995,0.447,0.6920000000000001,0.3,1.5,0.6,0.4,0.2,3.8,78
85,Gordon Hayward\haywago01,0.433,5.1,0.349,0.47700000000000004,0.8240000000000001,0.8,5.0,3.7,1.2,0.3,19.7,80
86,Harrison Barnes\barneha02,0.466,3.2,0.38299999999999995,0.508,0.7609999999999999,1.2,4.9,1.8,0.6,0.2,11.7,80
87,Jae Crowder\crowdja01,0.44299999999999995,5.0,0.336,0.529,0.82,1.0,5.1,1.8,1.7,0.5,14.2,78
88,JaKarr Sampson\sampsja02,0.442,0.9,0.222,0.496,0.6559999999999999,0.6,2.6,0.6,0.3,0.5,5.1,81
89,Jeff Green\greenje02,0.43,2.7,0.315,0.47,0.745,0.9,4.2,1.7,0.7,0.5,11.7,81
90,Joe Ingles\inglejo01,0.426,2.6,0.386,0.531,0.722,0.2,1.9,1.2,0.7,0.0,4.2,80
91,Joe Johnson\johnsjo02,0.439,3.9,0.38299999999999995,0.47100000000000003,0.831,0.6,3.6,3.9,0.8,0.0,12.2,79
92,Justin Anderson\anderju01,0.406,1.5,0.265,0.5329999999999999,0.8,0.3,2.4,0.5,0.3,0.5,3.8,78
93,Justise Winslow\winslju01,0.42200000000000004,1.5,0.276,0.47100000000000003,0.684,1.0,5.2,1.5,0.9,0.3,6.4,79
