FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.596,0,,0.596,0.714,1.4,4.8,0.8,0.8,1.1,5.5
0.556,0.1,0,0.588,0.714,1,3.3,0.8,0.2,0.4,3.4
0.703,0,0,0.704,0.43,3.5,13.8,1.2,0.7,2.3,12.7
0.451,3.2,0.333,0.473,0.718,2.4,11.5,3.3,1.6,1.4,26.9
0.559,0,,0.559,0.75,1.2,3.9,0.2,0.4,0.8,4.4
0.62,0.1,0,0.626,0.489,3.4,11.8,1.4,1,1.6,13.7
0.576,0.3,0.476,0.579,0.797,3,8.1,0.4,0.3,0.4,12.7
0.548,0,,0.548,0.53,2,5.6,0.7,0.4,1.1,7
0.41,2.5,0.337,0.455,0.73,0.9,4.1,1.2,0.5,0.5,7.5
0.532,0.2,0.3,0.54,0.827,1.9,7.1,1.7,1.1,1.2,10.1
0.522,0,0,0.522,0.74,2.8,8.8,2.3,0.9,0.8,15.3
0.606,0,,0.606,0.65,3.3,11.8,0.4,0.6,3.7,14.2
0.589,0,,0.589,0.587,1.9,7.1,1.5,0.9,1.1,9.3
0.516,0,0,0.519,0.447,1.1,3.8,0.7,0.4,0.4,5.9
0.508,0.1,0.167,0.511,0.686,2.3,7,1.2,0.4,1.2,17.5
0.485,0.2,0.25,0.493,0.806,0.7,2.9,0.8,0.4,0.9,7.2
0.481,0.3,0.333,0.505,0.704,0.7,2.9,0.6,0.3,0.4,3.1
0.575,0,0,0.579,0.5,1.6,3.9,0.1,0.1,0.8,5.1
0.537,0,0,0.544,0.729,1.1,3.4,0.4,0.4,1,4.3
0.513,0.9,0.245,0.557,0.899,1.3,4.9,0.9,0.2,0.3,7.9
0.564,0,0,0.566,0.59,1.5,3.9,0.9,0.3,1.9,7
0.565,0,,0.565,0.761,3.1,9.1,0.7,0.4,1.3,12.8
0.506,0,0,0.507,0.712,2.1,6.2,1.2,0.5,0.5,8.8
0.417,0.1,0,0.423,0.616,2,5.5,1.3,0.8,1.4,8.2
0.542,1.1,0.341,0.559,0.811,2.8,10.5,2,0.7,1.7,18.3
0.455,3,0.405,0.486,0.75,1,4.1,1.5,0.8,0.5,10
0.533,0,,0.533,0.44,0.7,3.5,0.8,0.3,0.3,2.5
0.41,0,0,0.414,0.826,0.6,2.6,1,0.2,0.8,3.9
0.532,0,,0.532,0.548,2.2,5.4,0.4,0.5,0.9,6.8
0.464,0.1,0.667,0.463,0.829,1.1,7,3.8,1,1.3,16.6
0.567,0,0,0.567,0.705,3,9.9,1.4,0.6,1.3,13.5
0.432,0.9,0.387,0.439,0.825,1.1,3.3,0.8,0.3,0.5,7.1
0.516,0,0,0.52,0.642,2.5,7.7,2.8,0.8,1,9.1
0.601,0,,0.601,0.576,1.5,3.8,0.3,0.3,0.8,5.1
0.498,0.2,0.214,0.506,0.727,1.1,5.5,0.7,0.4,1.4,10.3
0.521,0,0.5,0.521,0.59,2.3,8.1,1.8,1.8,1.5,11.1
0.512,1.1,0.333,0.541,0.811,2.3,7,2.4,1,0.6,10
0.51,0.1,0.222,0.512,0.753,2.7,8.9,2.8,0.8,1.1,18.2
0.533,0,,0.533,0.545,1.8,6.1,0.4,0.3,0.3,4
0.469,1,0.348,0.478,0.792,2.2,11,4.1,0.6,2,16.5
0.539,0,0,0.54,0.795,3.3,7.3,1.4,0.2,1.6,10.3
0.443,0,0,0.445,0.807,1.6,4.9,1.2,0.4,1.4,5.9
0.559,0,,0.559,0.569,3.4,11,1.5,0.7,2.2,9.1
0.62,0,,0.62,0.619,1.3,2.6,0.3,0.2,0.6,3.4
0.628,0,0,0.636,0.587,1.2,3.6,0.3,0.2,1.1,3.7
0.613,0,,0.613,0.582,2.7,6.7,0.8,0.5,1.1,8
0.548,0,,0.548,0.422,1.1,4,0.4,0.4,0.5,3.4
0.523,0.1,0,0.529,0.813,1.3,3.3,0.8,0.6,0.3,5.6
0.488,0,0,0.49,0.702,1.9,7.3,2.7,0.8,1.3,8.6
0.565,0.1,0.143,0.574,0.716,1.4,4.4,0.4,0.3,0.8,6.3
0.476,0,,0.476,0.815,1,3,0.5,0.2,0.4,6.1
0.583,0,0,0.585,0.62,2.7,8.7,1,0.5,0.7,7.2
0.563,0,0,0.567,0.648,2,5.3,0.6,0.7,1,7
0.571,0,,0.571,0.545,1.3,3.1,0.3,0.2,0.8,4.7
0.466,0,0,0.469,0.768,3.3,9.4,1.7,0.8,0.3,8.6
0.473,3.6,0.355,0.524,0.8,1.4,6.8,5,0.8,1.3,14
0.499,0,0,0.5,0.765,1.1,4.2,0.9,0.3,0.2,8.1
0.517,0,0,0.519,0.625,2,6.2,0.5,0.6,0.7,7.4
0.497,0.2,0.25,0.503,0.721,2,6.6,0.6,0.5,1.3,8
0.5,0.1,0,0.511,0.725,1.2,4.5,0.3,0.5,0.6,5.3
0.53,0.1,0.286,0.532,0.386,4.3,13.8,1.1,1.5,1.1,13.6
0.505,1.8,0.299,0.524,0.802,2.3,11.8,2.1,1.3,2.2,28
0.513,0,,0.513,0.84,1.5,4.4,0.4,0.2,0.5,4.9
0.528,0,,0.528,0.534,1.9,7,0.9,0.3,1.1,6
0.474,5.2,0.346,0.536,0.81,1.6,5.4,2.3,0.5,1.7,20.5
0.458,4.5,0.409,0.546,0.851,0.5,3.9,0.6,0.4,0.5,9.1
0.643,0,,0.643,0.531,2.7,8.1,1,0.5,1.2,12.6
0.571,0,0,0.572,0.679,2.2,6.5,1.6,1,0.9,10.3
0.579,0,,0.579,0.645,1.9,4.7,0.6,0.4,0.3,4.8
0.536,0.1,0.375,0.541,0.768,0.7,3,2.2,0.6,0.7,4.6
0.714,0,0,0.717,0.482,3.7,13.8,1.2,0.6,1.7,12.7
0.452,5,0.361,0.483,0.772,2.1,11,4.6,1.4,1.3,27
0.622,0,,0.622,0.699,1.7,6.5,0.6,0.5,0.8,5.1
0.633,0,0,0.635,0.533,4,12.7,1.4,0.9,1.2,13.5
0.515,1,0.284,0.571,0.759,1.2,4,0.6,0.8,0.5,6.7
0.545,0.5,0.132,0.568,0.786,2.7,6.7,0.9,0.4,0.5,14.3
0.399,4.7,0.328,0.455,0.756,0.8,4.5,2.2,0.6,0.5,11.7
0.533,0,0,0.536,0.741,2.1,6.6,2.3,1.1,0.5,11.7
0.557,0,,0.557,0.628,3.8,14.1,0.7,0.7,2.1,17
0.586,0,,0.586,0.573,1.5,4.8,0.6,1.1,0.8,5.6
0.529,0.1,0,0.536,0.653,1.1,4.2,0.8,0.4,0.9,7.5
0.514,0,,0.514,0.671,1.6,4.8,1.2,0.4,1,11.8
0.583,0,,0.583,0.544,1.4,3.1,0.2,0.3,0.4,3.1
0.529,1.1,0.474,0.546,0.686,0.9,3.5,0.5,0.3,0.7,5.7
0.49,0,0,0.493,0.436,3.5,8.8,2.2,0.7,0.8,5
0.466,3.2,0.367,0.495,0.783,2,7.8,2.1,0.9,2.5,20.2
0.515,0,0,0.516,0.692,1.6,5.1,1,0.5,1.3,6.8
0.557,0,0.5,0.557,0.811,2.8,9.5,0.7,0.5,0.8,12
0.459,2.8,0.306,0.598,0.75,1.1,4.1,0.9,0.5,0.7,6.9
0.507,0,0,0.508,0.571,2.4,7.2,1.9,0.8,1.1,10.2
0.542,3.4,0.367,0.582,0.832,3.6,12.3,2.7,0.7,1.3,25.1
0.512,2.6,0.354,0.608,0.732,1,4.8,2,0.6,0.4,9
0.551,0,0,0.552,0.613,1.7,5.7,0.7,0.5,0.7,6.6
0.521,0.2,0.118,0.538,0.771,2,5.6,1.5,0.5,1.3,6.3
0.66,0.2,0.25,0.694,0.657,1.4,4.3,0.7,0.9,1.6,4.4
0.459,3.6,0.388,0.48,0.837,0.8,6.3,4.6,0.9,1.3,19.5
0.579,0,0,0.58,0.648,2.9,10.4,1.5,0.5,0.7,10.8
0.445,3.4,0.372,0.52,0.876,1.1,4.5,0.8,0.3,0.5,8.7
0.536,0.1,0,0.541,0.58,2.1,7.5,3.5,0.9,1.1,10.4
0.504,1.6,0.418,0.546,0.766,1.1,3.4,1.4,0.4,0.6,6.2
0.478,0,,0.478,0.641,0.8,2.1,0.5,0.4,0.3,2.5
0.652,0.1,0.143,0.663,0.628,1.4,3.8,1.1,0.3,0.7,9.1
0.511,1.4,0.348,0.536,0.809,1.7,7.3,1.3,0.9,2.1,14.5
0.617,0.1,0.333,0.624,0.589,1.4,4.2,1,0.8,0.6,9.1
0.595,0,0,0.597,0.694,1.8,5.8,1,1.3,1,8.7
0.578,1.9,0.324,0.628,0.825,2.9,9.8,4.9,0.8,0.8,16.7
0.468,1,0.307,0.481,0.669,2.3,10.4,2.8,1,1,14.6
0.477,0,,0.477,0.59,1.5,5.3,0.5,0.2,0.3,2.7
0.502,1.6,0.538,0.494,0.707,1.7,7.8,2.3,0.4,1.1,12.4
0.558,1.4,0.351,0.606,0.699,1.6,5.5,1,0.7,1,9.8
0.493,0,0,0.494,0.721,3,6.4,1,0.2,1.4,10.4
0.544,0,,0.544,0.813,1.1,3.2,0.4,0.2,1,4.6
0.661,0,0,0.662,0.653,3.9,12.8,1.2,0.6,2.6,14
0.642,0,0.333,0.649,0.59,1.3,4.2,0.2,0.4,0.8,2.9
0.571,0,0,0.572,0.611,3.5,7.7,1.1,1.1,1,11.3
0.51,0,0.5,0.51,0.752,2.1,5.1,0.6,0.4,0.7,5.7
0.515,0,0,0.517,0.808,1.9,4.9,0.8,0.3,0.6,7.4
0.6,0,0,0.604,0.498,3.7,9.2,1,0.5,1.1,8.1
0.494,0,0,0.497,0.564,0.8,2.4,0.8,0.1,0.4,3.5
0.671,0,,0.671,0.734,3.3,11.5,0.6,0.7,0.5,8.4
