,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
69,Andre Drummond\drumman01,0.521,0.1,0.33299999999999996,0.522,0.355,4.9,14.8,0.8,1.5,1.4,16.2,83
70,Andrea Bargnani\bargnan01,0.455,0.3,0.188,0.47100000000000003,0.825,0.6,2.1,0.4,0.1,0.2,6.6,84
71,Andrew Bogut\bogutan01,0.627,0.0,1.0,0.626,0.48,1.7,7.0,2.3,0.5,1.6,5.4,84
72,Anthony Davis\davisan02,0.493,1.8,0.324,0.511,0.758,2.1,10.3,1.9,1.3,2.0,24.3,82
73,Aron Baynes\baynear01,0.505,0.0,0.0,0.508,0.764,1.7,4.7,0.6,0.3,0.6,6.3,82
74,Bismack Biyombo\biyombi01,0.542,0.0,0.0,0.544,0.628,2.2,8.0,0.4,0.2,1.6,5.5,81
75,Brook Lopez\lopezbr01,0.511,0.2,0.14300000000000002,0.515,0.787,2.8,7.8,2.0,0.8,1.7,20.6,84
76,Clint Capela\capelca01,0.5820000000000001,0.0,0.0,0.583,0.379,2.5,6.4,0.6,0.8,1.2,7.0,82
77,Cody Zeller\zelleco01,0.529,0.1,0.1,0.539,0.754,1.9,6.2,1.0,0.8,0.9,8.7,84
79,Cristiano Felicio\feliccr01,0.556,0.1,0.0,0.588,0.7140000000000001,1.0,3.3,0.8,0.2,0.4,3.4,82
80,DeAndre Jordan\jordade01,0.703,0.0,0.0,0.7040000000000001,0.43,3.5,13.8,1.2,0.7,2.3,12.7,83
81,DeMarcus Cousins\couside01,0.451,3.2,0.33299999999999996,0.473,0.718,2.4,11.5,3.3,1.6,1.4,26.9,83
83,Dwight Howard\howardw01,0.62,0.1,0.0,0.626,0.489,3.4,11.8,1.4,1.0,1.6,13.7,83
84,Enes Kanter\kanteen01,0.5760000000000001,0.3,0.47600000000000003,0.579,0.797,3.0,8.1,0.4,0.3,0.4,12.7,83
86,Frank Kaminsky\kaminfr01,0.41,2.5,0.337,0.455,0.73,0.9,4.1,1.2,0.5,0.5,7.5,84
87,Gorgui Dieng\dienggo01,0.532,0.2,0.3,0.54,0.8270000000000001,1.9,7.1,1.7,1.1,1.2,10.1,83
88,Greg Monroe\monrogr01,0.522,0.0,0.0,0.522,0.74,2.8,8.8,2.3,0.9,0.8,15.3,83
91,J.J. Hickson\hicksjj01,0.516,0.0,0.0,0.519,0.447,1.1,3.8,0.7,0.4,0.4,5.9,81
