,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
46,Kevin Martin\martike02,0.42700000000000005,4.9,0.39299999999999996,0.442,0.8809999999999999,0.5,3.6,2.3,0.8,0.0,20.0,79
47,Kirk Hinrich\hinriki01,0.373,2.5,0.345,0.39399999999999996,0.7,0.3,1.8,2.2,0.7,0.2,5.7,76
48,Klay Thompson\thompkl01,0.46299999999999997,7.1,0.439,0.48100000000000004,0.879,0.4,3.2,2.9,1.1,0.8,21.7,79
49,Kobe Bryant\bryanko01,0.373,5.3,0.293,0.401,0.813,0.7,5.7,5.6,1.3,0.2,22.3,78
50,Kyle Korver\korveky01,0.48700000000000004,6.0,0.49200000000000005,0.47,0.898,0.2,4.1,2.6,0.7,0.6,12.1,79
51,Lance Stephenson\stephla01,0.376,1.7,0.171,0.425,0.627,0.6,4.5,3.9,0.6,0.1,8.2,78
52,Leandro Barbosa\barbole01,0.474,1.7,0.384,0.511,0.784,0.3,1.4,1.5,0.6,0.1,7.1,75
53,Lou Williams\willilo02,0.40399999999999997,5.6,0.34,0.46399999999999997,0.861,0.3,1.9,2.1,1.1,0.1,15.5,73
54,Manu Ginobili\ginobma01,0.426,3.7,0.345,0.489,0.721,0.4,3.0,4.2,1.0,0.3,10.5,78
55,Marco Belinelli\belinma01,0.423,3.7,0.374,0.47100000000000003,0.848,0.4,2.5,1.5,0.5,0.0,9.2,77
56,Marcus Thornton\thornma01,0.406,3.0,0.37799999999999995,0.426,0.821,0.5,1.8,0.8,0.6,0.1,7.9,76
57,Markel Brown\brownma02,0.36200000000000004,1.4,0.266,0.40399999999999997,0.825,0.3,2.3,0.8,0.7,0.3,4.6,75
58,Matthew Dellavedova\dellama01,0.36200000000000004,2.5,0.40700000000000003,0.307,0.763,0.6,1.9,3.0,0.4,0.0,4.8,76
59,Monta Ellis\ellismo01,0.445,3.6,0.285,0.48700000000000004,0.752,0.4,2.4,4.1,1.9,0.3,18.9,75
60,Nick Calathes\calatni01,0.42100000000000004,0.7,0.256,0.456,0.5329999999999999,0.3,1.8,2.5,1.1,0.1,4.2,78
61,Nick Young\youngni01,0.366,5.4,0.369,0.363,0.892,0.4,2.3,1.0,0.5,0.3,13.4,79
62,Nik Stauskas\stausni01,0.365,2.0,0.322,0.408,0.8590000000000001,0.2,1.2,0.9,0.3,0.2,4.4,78
63,O.J. Mayo\mayooj01,0.42200000000000004,3.9,0.35700000000000004,0.465,0.8270000000000001,0.4,2.6,2.8,0.8,0.3,11.4,77
64,P.J. Hairston\hairspj02,0.32299999999999995,3.6,0.301,0.358,0.861,0.5,2.0,0.5,0.5,0.3,5.6,78
65,Randy Foye\foyera01,0.368,5.3,0.35700000000000004,0.38799999999999996,0.818,0.2,1.7,2.4,0.7,0.2,8.7,76
66,Rodney Hood\hoodro01,0.414,3.4,0.365,0.456,0.763,0.2,2.3,1.7,0.6,0.2,8.7,80
67,Sergey Karasev\karasse01,0.40299999999999997,1.6,0.29600000000000004,0.475,0.763,0.7,2.0,1.4,0.7,0.0,4.6,79
68,Shabazz Muhammad\muhamsh01,0.489,1.3,0.392,0.503,0.7170000000000001,1.7,4.1,1.2,0.5,0.2,13.5,78
69,Tim Hardaway\hardati02,0.389,5.1,0.342,0.435,0.8009999999999999,0.2,2.2,1.8,0.3,0.2,11.5,78
70,Tony Allen\allento01,0.495,0.5,0.345,0.505,0.627,1.6,4.4,1.4,2.0,0.5,8.6,76
71,Tyler Johnson\johnsty01,0.419,1.5,0.375,0.43700000000000006,0.6809999999999999,0.4,2.5,1.3,1.0,0.3,5.9,76
72,Tyreke Evans\evansty01,0.447,2.9,0.304,0.48200000000000004,0.6940000000000001,1.0,5.3,6.6,1.3,0.5,16.6,78
73,Victor Oladipo\oladivi01,0.436,3.4,0.33899999999999997,0.46399999999999997,0.8190000000000001,0.7,4.2,4.1,1.7,0.3,17.9,76
74,Vince Carter\cartevi01,0.33299999999999996,3.5,0.297,0.379,0.789,0.4,2.0,1.2,0.7,0.2,5.8,78
75,Wayne Ellington\ellinwa01,0.41200000000000003,3.7,0.37,0.439,0.813,0.5,3.2,1.6,0.5,0.0,10.0,77
76,Wesley Matthews\matthwe02,0.44799999999999995,7.4,0.389,0.534,0.752,0.6,3.7,2.3,1.3,0.2,15.9,77
77,Will Barton\bartowi01,0.425,1.5,0.271,0.474,0.787,0.4,2.8,1.4,0.8,0.3,6.8,78
78,Willie Green\greenwi01,0.386,2.3,0.34700000000000003,0.41100000000000003,0.8240000000000001,0.3,1.5,1.3,0.5,0.1,5.9,76
79,Alec Burks\burksal01,0.41,2.5,0.405,0.41200000000000003,0.752,0.5,3.5,2.0,0.6,0.1,13.3,78
80,Allen Crabbe\crabbal01,0.45899999999999996,3.5,0.39299999999999996,0.506,0.867,0.3,2.7,1.2,0.8,0.2,10.3,78
81,Andre Roberson\roberan03,0.496,1.5,0.311,0.608,0.611,1.1,3.6,0.7,0.8,0.6,4.8,79
