FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS,,,
0.485,0,0.488,0.528,5.6,0.6,0.6,0.4,5.7,0.6,1.8,6
0.487,0.345,0.518,0.581,5,1.1,0.5,0.5,7.2,2.5,2.7,12.4
0.547,,0.547,0.641,8,0.5,0.4,0.7,8.5,1.6,2.8,12.6
0.521,0.143,0.538,0.698,3.6,0.3,0.4,0.2,3.6,1,2.3,6.9
0.448,0.2,0.459,0.703,4.2,0.7,0.3,0.2,4.2,1.6,1.9,16.4
0.487,0.35,0.49,0.765,10.5,2.2,1,0.2,16.1,0.7,2,8
0.473,0.296,0.531,0.668,6.5,1.6,0.8,0.7,9.2,1.1,2.2,5.8
0.585,0.233,0.624,0.57,6.4,1.7,0.7,1.1,7.3,1.7,1.8,23.4
0.471,0.36,0.536,0.785,3.6,0.4,0.2,0.4,6.9,1.2,1.6,7.1
0.386,0.36,0.5,0.617,3.2,0.7,0.4,0.2,5.3,1.2,2.4,4.9
0.499,0.333,0.504,0.727,8.4,4.9,0.8,0.5,21.4,1.5,1.6,9.9
0.427,0.308,0.443,0.727,5.4,0.8,0.4,0.4,7,1.2,2.4,9.4
0.527,0.362,0.564,0.737,3.1,2.3,0.3,0.3,6.4,0.9,2.3,10.4
0.549,0,0.552,0.845,4.3,1.1,0.5,0.8,7.2,2.1,3,15.3
0.556,0.462,0.561,0.736,4.1,0.9,0.3,0.3,9.8,0.8,1.9,7.4
0.382,0.273,0.503,0.917,2.5,0.4,0.3,0.2,5.1,0.2,0.9,3.7
0.467,0.365,0.508,0.795,7.4,2.4,0.7,0.6,19.1,0.5,1.3,4.9
0.452,0.385,0.473,0.755,4.2,1.4,0.8,0.7,7.5,0.6,1.2,7.8
0.531,0,0.533,0.763,5.5,1.5,0.4,0.5,7.8,1.3,1.9,8.5
0.545,0.429,0.546,0.788,4,1.8,0.6,0.7,7.1,1,2.3,6.3
0.515,0,0.518,0.709,8.1,1.5,1.2,1.5,16.4,1.9,2.7,11
0.448,0.368,0.483,0.893,6.5,1.8,0.7,0.7,18.3,0.7,2.4,4.1
0.439,0.281,0.5,0.642,2.9,1.1,0.5,0.1,6.2,1.1,2.1,10.2
0.49,0.388,0.537,0.696,9.5,7.4,1.5,1.4,14,0.7,1.8,8
0.32,0.171,0.419,0.643,2.8,0.4,0.3,0.4,2.7,2,1.9,18.5
0.493,0.125,0.514,0.739,4,0.6,0.5,0.3,5.8,2.3,2.8,16.7
0.611,,0.611,0.559,7.4,1.1,0.7,0.9,6.5,0.9,2.2,5.9
0.424,0.371,0.458,0.721,5.4,0.9,0.7,0.4,10.4,1,1.9,3.7
0.493,0.257,0.502,0.768,5.2,1.7,0.9,0.4,14.1,1,1.9,13.7
0.475,0.303,0.54,0.574,2.2,1.2,0.5,0.6,5,0.7,2.3,6.4
0.465,0.333,0.478,0.752,4.8,0.9,0.6,0.4,7.4,1.5,3,14.3
0.478,0.42,0.534,0.735,3.5,2.1,0.9,0.2,7.9,0.8,2.4,5.8
0.435,0.282,0.458,0.64,8.3,2.3,0.9,0.6,10.3,1.2,2.6,10.3
0.419,0.24,0.477,0.658,4.7,1.8,0.7,1.6,9.7,1.1,2.4,11.7
0.411,1,0.409,0.675,2.7,0.5,0.3,0.1,3,1.5,2.3,14.1
0.481,0.382,0.511,0.762,5.6,1.1,0.6,0.4,8.5,1.1,1.9,5.7
0.413,0.398,0.421,0.782,3.7,0.8,0.3,0.3,4.4,1.1,1.8,7.2
0.372,0.245,0.434,0.7,2.5,1.9,0.4,0.2,3.6,1,2.3,8.5
0.364,0.287,0.417,0.552,3.5,1.6,0.6,0.9,6,0.3,1.9,3.6
0.429,0.278,0.436,0.715,10.2,1.8,0.7,0.4,11.3,0.7,1.8,4.2
0.558,0.5,0.558,0.613,8.7,1.2,0.5,0.9,12.5,2.2,2.5,16.1
0.47,0,0.474,0.667,3.9,1.6,0.7,0.3,3.2,0.8,2,9.2
0.419,0.36,0.467,0.822,9.9,2.4,0.8,0.5,16,1.2,2.7,7.3
0.41,0.315,0.465,0.798,4.1,0.7,0.3,0.4,6.5,0.7,1.2,6.9
0.421,0.333,0.454,0.838,7.3,1.3,0.7,1.9,14.3,0.4,1.2,5.3
0.476,0.227,0.498,0.767,3.8,1.1,0.3,0.8,4.8,2.4,2.7,21.4
0.513,0,0.521,0.858,8.5,1.5,0.5,1.1,18,0.9,1.6,7
0.442,0.404,0.458,0.857,2.2,0.9,0.4,0.1,8.2,1.3,1.3,6.4
0.527,0.1,0.541,0.681,5,0.7,0.9,0.4,5.5,0.6,1.9,7.2
0.516,,0.516,0.63,5.4,1,0.3,0.5,5.4,0.6,1.9,9.8
0.454,0.325,0.485,0.526,2.3,0.4,0.6,0.3,3.1,0.5,1.1,5.1
0.45,0.404,0.467,0.726,4.7,0.9,0.6,0.4,8.7,1.5,1.9,19.1
0.455,0.344,0.513,0.755,6,1.9,1,0.4,12.3,0.9,2.6,7.5
0.425,0.303,0.458,0.735,5.5,1.9,0.9,0.5,12,1.2,2.1,7.8
0.452,0.402,0.504,0.833,6.4,1.4,0.7,1,11.7,0.9,1.8,7.1
0.448,0.377,0.527,0.761,5.1,1.5,0.1,0.3,8.4,1.7,2.4,16.4
0.468,0.392,0.523,0.794,2.7,1,0.3,0.2,6.2,1.1,2.1,18.3
0.427,0.393,0.476,0.774,3.8,1.1,0.4,0.3,12.2,1.2,1.9,6.2
0.468,0.384,0.564,0.727,3.5,1.4,0.4,0.4,5.1,3.2,3,14
0.544,0,0.549,0.578,4.5,1.7,0.9,0.5,9.2,0.4,1.3,2.7
0.459,0,0.467,0.697,2.9,0.9,0.3,0.3,2.1,0.6,1.7,5.8
0.407,0.39,0.43,0.807,5.5,1.5,0.9,0.7,11.8,0.8,2.5,6.5
0.421,0.239,0.457,0.745,3.9,0.4,0.3,0.3,3.6,1,2.3,10.4
0.481,0.409,0.537,0.648,5.9,1.4,0.8,0.2,11.8,1.5,2,14.1
0.414,0.362,0.49,0.853,4.3,1.2,0.7,0.4,6.9,0.9,1.5,5
0.47,0.319,0.512,0.757,9,3.3,1.8,1.7,17.1,1.1,2.4,7.4
0.556,0.388,0.606,0.735,3.2,0.5,0.5,0.4,5.2,1,2.3,7.9
0.514,0.182,0.596,0.689,2.6,0.6,0.4,0.8,5.6,1.3,2.6,10.3
0.427,0.366,0.466,0.873,6,1.1,0.6,0.4,17,1.4,2.8,9.7
0.369,0.135,0.446,0.685,3.4,0.6,0.4,0.3,4.2,0.5,1.5,3
0.479,0.326,0.52,0.752,6.8,0.8,0.5,1.9,12.6,1.1,1.9,8.5
0.405,0.373,0.422,0.831,4.3,1.9,0.4,0.5,6,0.7,1.8,4.4
0.526,0,0.529,0.692,6.9,1.5,0.6,1.1,8.6,0.7,1.6,3.6
0.452,0.316,0.49,0.664,4.2,0.8,0.5,0.8,8.7,1.4,2.1,6
0.514,0.233,0.523,0.644,9,1.8,1.5,0.5,15.1,1.8,3,11.3
0.447,0,0.448,0.431,5.1,0.6,0.5,0.5,4.3,1.4,2.5,12.5
0.469,0.335,0.518,0.831,6.7,2.2,0.9,0.5,14.7,0.4,1.8,3.2
0.49,0.293,0.513,0.67,5.7,1.1,0.7,0.5,5.9,1.8,2.1,16
0.438,0.383,0.461,0.695,3.7,0.7,0.3,0.2,6.1,0.7,1.8,6.5
0.588,,0.588,0.616,9,0.8,0.5,0.6,7.8,1.7,2.8,14.3
0.475,0.231,0.482,0.796,7.8,2.1,0.6,0.2,15.3,0.9,1.6,4.8
0.393,0.33,0.445,0.706,7.4,1.6,1,0.7,8.7,1.3,2,18
0.576,0.409,0.612,0.67,4.6,1.8,0.6,0.8,6.5,1,1.8,8.2
0.442,0.391,0.537,0.744,3.6,1.2,0.5,0.3,7.1,0.7,2,5.5
0.493,0.336,0.514,0.76,8.1,4.9,0.9,0.4,21.6,0.9,1.9,5.4
0.488,0.333,0.541,0.661,4.6,0.5,0.3,0.2,6.8,0.5,1.3,3.1
0.446,0.247,0.512,0.743,2.2,2.3,0.2,0.1,4.6,0.9,2.3,8.7
0.575,0.333,0.579,0.875,2.5,0.4,0.3,0.2,5.6,1.1,1.6,12.3
0.485,0.392,0.579,0.593,4.2,0.6,0.6,0.4,6.6,2.1,2.9,12
0.411,0.311,0.469,0.782,6.3,2.2,0.7,0.4,12.8,0.8,1.6,11.7
0.442,0.453,0.429,0.864,2.7,1,0.5,0.5,6.4,1.3,3,8.4
0.59,,0.59,0.708,5.6,1.6,0.4,0.5,7.3,0.6,1.4,6.2
0.44,0.399,0.557,0.824,1.5,0.7,0.3,0.4,4.5,1.1,2,12.2
0.487,0.3,0.491,0.615,6.1,1.1,0.9,0.8,9.5,0.8,2.6,5.1
0.443,0.309,0.531,0.652,2.6,0.6,0.3,0.1,6.1,1.3,2.7,9.2
0.437,0.378,0.463,0.875,6.5,1.5,0.6,0.7,14.2,0.8,1.8,2.1
0.399,0.321,0.438,0.657,3.6,1,0.5,0.4,5.9,1.5,2.3,11.8
0.413,0.234,0.505,0.51,3,0.9,0.5,0.3,4.4,0.6,1.9,3.6
0.372,0.293,0.479,0.754,2.7,0.8,0.6,0.3,4.3,1.4,2.2,11.8
0.354,0.277,0.483,0.364,2.4,0.5,0.2,0.5,3.4,0.8,1.6,6.9
0.418,0.308,0.494,0.709,7.9,7,2,1.4,10.2,2.4,2.9,17.1
0.528,,0.528,0.617,5.3,0.6,0.3,0.5,4.3,0.5,1.7,5.2
0.431,0.353,0.496,0.778,5.9,1.7,0.7,0.3,13.1,0.6,1.8,5.6
0.502,0.372,0.511,0.814,7.9,1.9,1.1,1.2,10,1.4,1.7,17
0.468,0.351,0.492,0.861,5,1.5,0.8,0.2,19.2,0.5,1.1,4.2
0.49,0.365,0.525,0.743,6.2,2.8,1,0.4,20.1,1.4,2.7,12.6
0.479,0.34,0.548,0.707,4.9,3.6,1,1.1,12.8,1,1.9,6
0.5,0.379,0.549,0.802,7.1,1.1,0.6,0.4,8.9,1.1,2.5,8.6
0.454,0.379,0.559,0.662,3.5,1.9,0.7,0.3,6.8,1,1.7,8.7
0.384,0.36,0.389,0.8,3.9,0.2,0.4,0.2,3.9,1.9,2.5,15.1
0.394,0.275,0.458,0.863,3.1,1.2,0.5,0.2,9.2,1,1.6,4.3
0.463,0.371,0.514,0.612,2.6,0.6,0.4,1,5.5,1.4,2,14.7
0.48,0.293,0.545,0.867,5.4,1.5,0.4,0.3,10.2,1,2.1,5.9
0.435,0.346,0.523,0.703,3.5,0.9,0.3,0.2,3.8,0.8,1.4,6.1
0.451,0.407,0.495,0.75,3,0.5,0.5,0.2,4.9,0.7,2.5,7.8
0.488,0.27,0.507,0.723,8.6,3.6,0.7,0.5,13.2,1.5,2.1,15.3
0.548,0,0.556,0.693,7.6,0.9,0.7,0.7,9.6,1.5,1.7,8.7
0.537,0.375,0.608,0.875,8.3,4.8,1.1,1.6,25.1,1,2.6,6.5
0.427,0.373,0.471,0.871,11.1,1.9,0.9,0.4,19,0.9,1.7,7.1
0.551,0,0.556,0.636,2.9,0.5,0.1,0.4,4.7,2.3,2.6,21.6
0.407,0.352,0.425,0.78,3.7,0.5,0.3,0.4,4.6,0.6,1.5,6.8
0.45,0.357,0.493,0.786,7.2,1.5,0.7,2,18.1,1.2,1.1,4.6
0.477,0.411,0.48,0.812,7.3,1.9,0.6,1.2,17.3,0.6,0.9,5.6
0.398,0.447,0.371,0.843,3.1,0.8,0.5,0.1,6,0.4,1.5,6.6
0.526,0.278,0.554,0.738,5.9,1.5,1.3,0.6,7.1,2.3,2,12.8
0.458,0,0.461,0.697,3.6,0.9,0.3,0.4,2.9,0.9,1.9,6.4
0.47,0.34,0.535,0.676,3.9,1,0.4,0.1,5.1,1,1.6,7.3
0.457,0.362,0.483,0.837,6.5,1.7,1.1,0.6,14,0.5,1.1,4.5
0.449,0.321,0.52,0.624,4.2,0.7,0.8,0.9,9.2,1.2,2.1,9.5
0.422,0.35,0.494,0.873,6.6,1.4,0.8,0.7,11.2,0.6,1.2,6.1
0.453,0.143,0.481,0.731,2,0.3,0.5,0.3,3.1,0.9,2.1,14.2
0.386,0.347,0.436,0.875,3.2,1,0.2,0.4,5.4,1,2.5,5.9
0.532,0.419,0.545,0.743,3.4,0.9,0.5,0.5,9.4,0.9,1.6,4.4
0.373,0.341,0.46,0.778,2.3,0.7,0.2,0.2,6.4,0.6,1.5,4.3
0.424,0.316,0.531,0.738,3.8,1.2,0.6,0.3,6.2,0.7,1.7,3.4
