FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS,,,
25.6,0.481,0.364,0.572,0.684,0.4,2.7,3,0.4,1.1,1.6,7.5
26.8,0.429,0.368,0.499,0.805,0.8,4.6,5.4,0.2,1.2,1.9,13.6
27,0.48,0.367,0.536,0.82,1,4.6,5.6,0.5,1.7,3,11.5
21.2,0.423,0.295,0.482,0.608,1.1,4.4,5.5,1,1.5,2.8,7.7
25.7,0.458,0.413,0.57,0.829,0.9,3.8,4.7,0.5,0.8,1.5,9.5
16.8,0.489,0.313,0.553,0.746,1,2.3,3.3,0.7,0.4,1.6,5.4
22.3,0.507,0.395,0.528,0.78,1.3,4.3,5.6,0.6,1.9,2,13.2
18.5,0.527,0.405,0.59,0.658,0.7,2.6,3.3,0.1,1,1.9,8.8
20.5,0.461,0.415,0.563,0.8,0.8,3.3,4.1,0.2,0.8,2.1,6.8
27.2,0.447,0.377,0.546,0.818,1.1,6.3,7.4,0.7,1.1,2,15.6
16.2,0.444,0.303,0.487,0.621,1.3,4.5,5.8,0.3,0.6,1.3,4.9
27.8,0.39,0.371,0.52,0.717,1.1,4.4,5.6,0.3,0.9,2.5,6.1
20.7,0.508,0.22,0.537,0.621,1,3.5,4.5,0.5,0.8,2,7.3
15.5,0.398,0.386,0.523,0.87,0.4,2,2.4,0.3,0.4,1.1,3.9
30.1,0.464,0.345,0.509,0.696,1.7,4.7,6.4,1.2,1.9,2.6,14.6
19.4,0.356,0.349,0.496,0.817,0.6,3.1,3.7,0.4,0.9,2.1,5.9
21.6,0.471,0.314,0.506,0.772,1.3,3.8,5.1,0.7,1.4,1.7,11.5
26.1,0.431,0.386,0.568,0.774,1.4,3.6,5,0.3,0.6,1.9,9.3
12.1,0.494,0.167,0.514,0.661,0.6,1.8,2.4,0.1,0.5,1,4.2
15.8,0.346,0.32,0.452,0.61,0.5,1.7,2.2,0.1,0.3,1.2,2.7
27.5,0.483,0.36,0.552,0.797,1,5.3,6.3,1.3,1.2,2.8,12.6
20.7,0.448,0.353,0.467,0.805,1.7,3.2,4.8,0.8,1.2,2.2,8.7
33.2,0.577,0.2,0.581,0.768,2.4,4.8,7.1,0.7,1.1,2.7,12.2
32.2,0.487,0.32,0.521,0.598,2.3,4,6.3,0.4,1.3,2.2,11.8
33.4,0.46,0.411,0.535,0.829,0.7,4.7,5.5,0.4,1.3,2.1,18.6
17,0.516,0.242,0.528,0.71,1.7,3,4.7,0.3,0.9,1.8,6.3
19.1,0.491,0.381,0.566,0.706,0.8,4,4.8,0.5,0.8,1.5,9.9
13.3,0.441,0.36,0.546,0.81,1.2,2.1,3.3,0.1,0.4,1.6,4.7
25.6,0.473,0.347,0.507,0.785,1.6,5.1,6.7,0.2,2,2,14.5
