FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.426,0.386,0.531,0.722,1.9,1.2,0.7,0,4.2
0.439,0.383,0.471,0.831,3.6,3.9,0.8,0,12.2
0.406,0.265,0.533,0.8,2.4,0.5,0.3,0.5,3.8
0.422,0.276,0.471,0.684,5.2,1.5,0.9,0.3,6.4
0.506,0.443,0.528,0.874,6.8,2.6,1.8,1,21.2
0.427,0.316,0.492,0.633,2.1,0.2,0.3,0.1,3.7
0.441,0.357,0.502,0.815,5.1,2.3,1.3,0.5,11.6
0.505,0.387,0.569,0.898,8.2,5,1,1.2,28.2
0.358,0.285,0.41,0.826,3.7,2.8,0.9,0.2,17.6
0.468,0.324,0.488,0.747,3.1,1.6,0.8,0.4,4.5
0.389,0.309,0.452,0.659,2.1,0.4,0.4,0.1,3.4
0.481,0.385,0.5,0.784,3.2,1.9,0.6,0.1,8.3
0.52,0.309,0.573,0.731,7.4,6.8,1.4,0.6,25.3
0.422,0.404,0.433,0.78,3.1,1.1,0.2,0.1,7
0.434,0.362,0.467,0.749,5.1,2.5,0.8,0.3,14.1
0.433,0.349,0.504,0.907,2.2,1.4,0.5,0.2,6.1
0.381,0.322,0.449,0.804,5.5,2.1,1,0.8,10
0.474,0.279,0.576,0.622,3.6,0.9,0.6,0.4,6.4
0.311,0.31,0.312,0.702,2.5,0.8,0.6,0.3,5
0.41,0.394,0.427,0.784,2.7,1.3,0.5,0.3,7.2
0.426,0.348,0.492,0.849,6.1,5.8,0.9,0.6,14.9
0.473,0.367,0.536,0.754,5.2,1.6,1.4,0.4,11.6
0.355,0.29,0.449,0.781,2.6,0.6,0.5,0.2,6.2
0.411,0.33,0.455,0.746,6.2,2.2,1.3,0.2,8
0.418,0.371,0.447,0.86,7,4.1,1.9,0.4,23.1
0.363,0.31,0.445,0.818,2.7,1,0.5,0.3,6.1
0.439,0.415,0.467,0.933,1.8,0.7,0.3,0.1,3.3
0.458,0.382,0.554,0.667,1.7,0.8,0.4,0.2,5.5
0.385,0.353,0.452,0.791,6.3,1.4,1.6,0.6,12.8
