FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.448,0.417,0.463,0.827,3.2,4.3,1.2,0.3,20.8
0.439,0.273,0.478,0.764,2.6,3.1,0.8,0.3,8.5
0.454,0.378,0.493,0.839,2.6,1.7,1.1,0.4,9.6
0.376,0.332,0.448,0.739,3.8,1.8,1,0.8,7.2
0.397,0.38,0.407,0.725,1.2,0.7,0.2,0,4
0.446,0.338,0.458,0.85,4.5,4,1,0.3,23.5
0.423,0.343,0.464,0.84,2.5,2.6,0.6,0.3,13.8
0.399,0.358,0.421,0.713,2.6,2,1,0.2,9.8
0.456,0.159,0.468,0.793,4.1,4.6,1.1,0.6,19
0.481,0.452,0.491,0.629,2.3,1.7,0.6,0.3,7.5
0.418,0.384,0.457,0.888,2.2,2.7,1,0.3,15.2
0.456,0.241,0.482,0.827,4.9,4.4,1,0.3,10.5
0.469,0.354,0.543,0.82,2.9,1.9,1.3,0.2,12.3
0.465,0.41,0.489,0.855,2.1,1.2,0.5,0,9.8
0.392,0.323,0.446,0.783,2.4,0.8,0.6,0.3,8.9
0.439,0.353,0.468,0.767,2.9,1,0.5,0.3,8.7
0.397,0.38,0.42,0.719,3.5,1.3,0.5,0.3,9.8
0.374,0.295,0.447,0.784,3.8,1.7,1,0.4,5.8
0.36,0.363,0.354,0.833,2.3,1.8,0.7,0.2,11
0.48,0.475,0.484,0.888,1.9,1.4,0.6,0.1,16.3
0.415,0.4,0.438,0.634,2.8,1.7,1.1,0.3,12.4
0.404,0.34,0.44,0.904,1.8,2.3,0.7,0.2,14.2
0.376,0.267,0.478,0.759,1.7,0.8,0.4,0.3,3.5
0.439,0.359,0.494,0.86,6.1,7.5,1.7,0.6,29
0.402,0.356,0.504,0.818,1.1,1.4,0.7,0.1,5.9
0.451,0.309,0.529,0.727,3.8,1.2,0.6,0.5,8.8
0.412,0.336,0.446,0.815,3.2,3,0.7,0.5,11.7
0.423,0.437,0.408,0.778,2.7,3.1,0.9,0.2,10.4
0.454,0.312,0.489,0.832,5.3,4.8,1.6,0.6,20.9
0.444,0.314,0.505,0.833,1.3,0.8,0.2,0,4.1
0.504,0.383,0.533,0.75,1.7,1.1,0.4,0.1,6
